competition_family,team_context,user_bucket,label,definition,examples
national_team_world_cup_finals,national_team,national_team_world_cup_finals,World Cup finals,Matches in the FIFA World Cup final tournament,FIFA World Cup
national_team_world_cup_qualification,national_team,national_team_world_cup_qualification,World Cup qualification,Matches in confederation or inter-confederation qualification for a FIFA World Cup,CONMEBOL World Cup qualifying
national_team_continental_championship_finals,national_team,national_team_continental_championship_finals,Continental championship finals,Final tournaments for senior national-team continental championships,Copa América; UEFA European Championship
national_team_continental_championship_qualification,national_team,national_team_continental_championship_qualification,Continental championship qualification,Qualifying matches for a continental senior championship,UEFA Euro qualifying
national_team_intercontinental_championship_finals,national_team,national_team_intercontinental_championship_finals,Intercontinental championship finals,Senior national-team competitions or one-match finals between continental champions,FIFA Confederations Cup; Finalissima; Artemio Franchi Cup
national_team_continental_nations_league,national_team,national_team_continental_nations_league,Continental Nations League,League-format senior national-team competitions organized by a continental confederation,UEFA Nations League
national_team_olympic,national_team,national_team_olympic,Olympic,Olympic and Olympic-qualification matches,Olympic Games; Pre-Olympic Tournament
national_team_friendlies,national_team,national_team_friendlies,National-team friendlies,National-team matches described by the source as friendly or without a competition label,International friendly
national_team_other,national_team,national_team_other,Other national-team matches,National-team matches that do not fit another selectable family,Anniversary tournaments; invitational cups
national_team_tournament_finals_unallocated,national_team,national_team_other,Tournament finals — unallocated,Calendar-year aggregate that the source calls Tournament but does not split by named competition,Career-statistics aggregate
national_team_qualification_unallocated,national_team,national_team_other,Qualification — unallocated,Calendar-year aggregate that the source calls Qualifiers but does not split World Cup from continental qualification,Career-statistics aggregate
national_team_competitive_unallocated,national_team,national_team_other,Competitive — unallocated,Calendar-year competitive aggregate that cannot be assigned to a named competition family,Career-statistics aggregate
national_team_all_matches_unallocated,national_team,national_team_other,All national-team matches — unallocated,Calendar-year total with no competitive or friendly split,Career-statistics aggregate
national_league,club,national_league,National league,National pyramid league and its source-defined championship or postseason,La Liga; Serie A; Brasileirão; NASL
continental_federation_cup,club,continental_federation_cup,Continental federation cup,Club competition organized within one continental confederation,Copa Libertadores; UEFA Champions League
intercontinental_federation_cup,club,intercontinental_federation_cup,Intercontinental federation cup,Club competition between teams from multiple continental confederations,Intercontinental Cup; FIFA Club World Cup
regional_league,club,regional_league,Regional league,Subnational or multi-state league competition,Campeonato Paulista; Torneio Rio-São Paulo
domestic_cup,club,all_other_club,Domestic cup,National knockout cup grouped under the user's all-other club bucket,Copa del Rey; Coppa Italia
domestic_super_cup,club,all_other_club,Domestic super cup,Domestic super cup or shield grouped under the user's all-other club bucket,Supercopa de España
all_other_club,club,all_other_club,All other club goals,Club matches not assigned to the four named club families,Other; postseason; unallocated domestic competition
unclassified_club,club,all_other_club,Unclassified club,Source bucket awaiting classification,Unknown source bucket
club_competition_aggregate_unallocated,club,all_other_club,Club competition aggregate — unallocated,Multi-year club aggregate that overlaps finer competition records and must be used only as a selected source variant,RSSSF Pelé core set
representative_team_other,representative_team,all_other_club,Representative or select team,Army state league or invitational representative teams outside the club and senior-national-team contexts,Army teams; São Paulo selection; other selects
